Date,Status,Type,Title,Action,Session ID,ID,Tool,Entry type,Source provider version,Source team name,Team channel name,Source site address,Source site name,Source list title,Source list ID,Source user account,Loaded from,Source path,Source ID,Source version,Destination provider version,Destination team name,Destination site address,Destination site name,Destination list title,Destination list ID,Destination user account,Destination path,Destination ID,Messages,Warnings,Errors,Copy options,Export Api Used,Throttling statistics,Application version,Details,Office 365 Import: Status,Office 365 Import: Job IDs,Office 365 Import: # of objects processed,Office 365 Import: # of objects,Office 365 Import: Progress %,Office 365 Import: Import start,Office 365 Import: Import end,Azure jobs,Help links
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005045504.msg,Copy,200904-1,200904043950_1_4904200904044002_420,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005045504.msg,161,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005044415.msg,Copy,200904-1,200904043950_1_4904200904044002_419,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005044415.msg,160,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005040267.msg,Copy,200904-1,200904043950_1_4904200904044002_418,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005040267.msg,144,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005040044.msg,Copy,200904-1,200904043950_1_4904200904044002_417,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005040044.msg,143,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005039916.msg,Copy,200904-1,200904043950_1_4904200904044002_416,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005039916.msg,140,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005039692.msg,Copy,200904-1,200904043950_1_4904200904044002_415,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005039692.msg,138,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005039532.msg,Copy,200904-1,200904043950_1_4904200904044002_414,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Special Settlement   Alm Brand - Cloudburst Loss July 2011_1005039532.msg,136,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,Schedule_1005033119.xls,Copy,200904-1,200904043950_1_4904200904044002_413,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,Schedule_1005033119.xls,125,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,SCHEDULE - 6_1005138451.xls,Copy,200904-1,200904043950_1_4904200904044002_412,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,SCHEDULE - 6_1005138451.xls,284,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
2020-09-04T08:40:02Z,Skipped,File,SCHEDULE - 5_1005138351.xls,Copy,200904-1,200904043950_1_4904200904044002_411,Copy SharePoint content,Item,SP2010,,,http://eclipsedm.willis.com/2012/11/,November 2012,23,ceef90da-f8b0-4735-897b-cee3897823ac,INT\svc_crbspmigrate_p,,SCHEDULE - 5_1005138351.xls,283,,SP2019,,https://euteamsites.willistowerswatson.com/Sites/EclipseDM201211/,November 2012,23,2da14c05-f84a-4bc8-852a-b442c33bbafd,INT\svc_crbspmigrate_p,,,,,,,False,,13.1.2,Item skipped.,,,,,,,,<AzureJobs />,
