#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","5679","01","5679"
"02","5217","02","5217"
"03","436","03","436"
"04","39","04","39"
"05","33","05","33"
"06","330","06","330"
"07","4614","07","4614"
"08","7202","08","7202"
"09","6414","09","6414"
"10","3202","10","3202"
"11","110","11","110"
"12","0","12","0"
"13","2317","13","2317"
"14","2643","14","2643"
"15","2234","15","2234"
"16","2960","16","2960"
"17","2992","17","2992"
"18","60","18","60"
"19","0","19","0"
"20","5362","20","5362"
"21","5573","21","5573"
"22","5720","22","5720"
"23","5613","23","5613"
"24","4741","24","4741"
"25","240","25","240"
"26","38","26","38"
"27","4948","27","4948"
"28","5027","28","5027"
"29","5717","29","5717"
"30","5608","30","5608"
"31","0","31","0"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","4"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","2378","User Information List","615"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
