#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","4175","01","4175"
"02","214","02","214"
"03","47","03","47"
"04","4440","04","4440"
"05","5395","05","5395"
"06","5765","06","5765"
"07","6084","07","6084"
"08","4881","08","4881"
"09","43","09","43"
"10","83","10","83"
"11","4591","11","4591"
"12","5421","12","5421"
"13","5384","13","5384"
"14","4242","14","4242"
"15","4211","15","4211"
"16","93","16","93"
"17","29","17","29"
"18","3844","18","3844"
"19","5234","19","5234"
"20","6186","20","6186"
"21","5155","21","5155"
"22","6551","22","6551"
"23","237","23","237"
"24","69","24","69"
"25","5960","25","5960"
"26","6181","26","6181"
"27","5956","27","5956"
"28","7470","28","7470"
"29","7478","29","7478"
"30","221","30","221"
"31","0","31","0"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","2"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","1800","User Information List","524"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
