#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","6251","01","6251"
"02","6109","02","6109"
"03","7521","03","7521"
"04","6949","04","6949"
"05","7272","05","7272"
"06","73","06","73"
"07","13","07","13"
"08","4778","08","4778"
"09","5278","09","5278"
"10","6434","10","6434"
"11","6229","11","6229"
"12","6190","12","6190"
"13","4","13","4"
"14","5","14","5"
"15","4294","15","4294"
"16","5160","16","5160"
"17","6089","17","6089"
"18","5187","18","5187"
"19","5183","19","5183"
"20","496","20","496"
"21","7","21","7"
"22","5661","22","5661"
"23","6001","23","6001"
"24","6141","24","6141"
"25","5799","25","5799"
"26","6458","26","6458"
"27","130","27","130"
"28","10","28","10"
"29","6346","29","6346"
"30","0","30","0"
"31","0","31","0"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","4"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","1799","User Information List","535"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
