#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","0","01","0"
"02","789","02","789"
"03","1015","03","1015"
"04","848","04","848"
"05","97","05","97"
"06","28","06","28"
"07","800","07","800"
"08","947","08","947"
"09","1004","09","1004"
"10","1000","10","1000"
"11","829","11","829"
"12","64","12","64"
"13","69","13","69"
"14","813","14","813"
"15","1207","15","1207"
"16","1095","16","1095"
"17","850","17","850"
"18","1041","18","1041"
"19","103","19","103"
"20","26","20","26"
"21","635","21","635"
"22","960","22","960"
"23","1367","23","1367"
"24","1124","24","1124"
"25","1009","25","1009"
"26","313","26","313"
"27","21","27","21"
"28","1026","28","1026"
"29","1287","29","1287"
"30","1674","30","1674"
"31","1399","31","1399"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","4"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","564","User Information List","150"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
