#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","43","01","43"
"02","1258","02","1258"
"03","4410","03","4410"
"04","4928","04","4928"
"05","4611","05","4611"
"06","3753","06","3753"
"07","221","07","221"
"08","27","08","27"
"09","5838","09","5838"
"10","4560","10","4560"
"11","4753","11","4753"
"12","4567","12","4567"
"13","4882","13","4882"
"14","265","14","265"
"15","32","15","32"
"16","4343","16","4343"
"17","4692","17","4692"
"18","5466","18","5466"
"19","5296","19","5296"
"20","5475","20","5475"
"21","160","21","160"
"22","63","22","63"
"23","4608","23","4608"
"24","4823","24","4823"
"25","5060","25","5060"
"26","6272","26","6272"
"27","5276","27","5276"
"28","332","28","332"
"29","29","29","29"
"30","6507","30","6507"
"31","24","31","24"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","4"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","805","User Information List","359"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
