"SourceSite","TargetSite","Size_In_MB_Source","Size_In_MB_Target","Size_In_GB_Source","Size_In_GB_Target"
"http://eclipsedm.willis.com/2018/12","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201812","54858.2116","55042.2207","53.5725","53.7522"
"http://eclipsedm.willis.com/2019/01","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201901","73047.7918","73244.1578","71.3357","71.5275"
"http://eclipsedm.willis.com/2019/02","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201902","68625.9906","68817.2464","67.0176","67.2043"
"http://eclipsedm.willis.com/2019/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201903","68842.301","69021.5515","67.2288","67.4039"
"http://eclipsedm.willis.com/2019/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201904","58434.0094","58567.796","57.0645","57.1951"
"http://eclipsedm.willis.com/2019/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201905","67552.2458","67721.578","65.969","66.1344"
"http://eclipsedm.willis.com/2019/06","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201906","63104.4075","63228.1113","61.6254","61.7462"
"http://eclipsedm.willis.com/2019/07","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201907","65878.374","66035.4027","64.3343","64.4877"
"http://eclipsedm.willis.com/2019/08","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201908","64889.7703","65048.5834","63.3689","63.524"
"http://eclipsedm.willis.com/2019/09","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201909","61809.715","61958.0377","60.361","60.5059"
"http://eclipsedm.willis.com/2019/10","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201910","65298.7424","65433.3819","63.7683","63.8998"
"http://eclipsedm.willis.com/2019/11","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201911","56084.075","56211.7384","54.7696","54.8943"
"http://eclipsedm.willis.com/2019/12","https://euteamsites.willistowerswatson.com/Sites/EclipseDM201912","37783.9509","37896.8871","36.8984","37.0087"
"http://eclipsedm.willis.com/2020/01","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202001","40867.0926","40950.5021","39.9093","39.9907"
"http://eclipsedm.willis.com/2020/02","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202002","39864.2525","39957.4535","38.9299","39.021"
"http://eclipsedm.willis.com/2020/03","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202003","57780.6406","58009.2843","56.4264","56.6497"
"http://eclipsedm.willis.com/2020/04","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202004","83045.6868","83375.0017","81.0993","81.4209"
"http://eclipsedm.willis.com/2020/05","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202005","84502.8058","84795.7917","82.5223","82.8084"
"http://eclipsedm.willis.com/2020/06","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202006","99584.4003","99877.8029","97.2504","97.5369"
"http://eclipsedm.willis.com/2020/07","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202007","105884.9236","106237.6675","103.4032","103.7477"
"http://eclipsedm.willis.com/2020/08","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202008","92060.4418","92381.5331","89.9028","90.2163"
"http://eclipsedm.willis.com/2020/09","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202009","93334.5408","93559.8256","91.147","91.367"
"http://eclipsedm.willis.com/2020/10","https://euteamsites.willistowerswatson.com/Sites/EclipseDM202010","102918.0212","45755.0491","100.5059","44.6827"
