#TYPE System.Management.Automation.PSCustomObject
"sListName","sNo. of Items","dListName","dItemsCount"
"01","432","01","432"
"02","574","02","574"
"03","485","03","485"
"04","395","04","395"
"05","447","05","447"
"06","12","06","12"
"07","0","07","0"
"08","253","08","253"
"09","377","09","377"
"10","521","10","521"
"11","530","11","530"
"12","478","12","478"
"13","1","13","1"
"14","3","14","3"
"15","297","15","297"
"16","632","16","632"
"17","432","17","432"
"18","516","18","516"
"19","665","19","665"
"20","27","20","27"
"21","0","21","0"
"22","444","22","444"
"23","649","23","649"
"24","531","24","531"
"25","468","25","468"
"26","502","26","502"
"27","36","27","36"
"28","20","28","20"
"29","376","29","376"
"30","471","30","471"
"31","670","31","670"
"Cache Profiles","0","Cache Profiles","4"
"Content and Structure Reports","0","Content and Structure Reports","7"
"Content type publishing error log","0","Content type publishing error log","4"
"List Template Gallery","0","List Template Gallery","0"
"Long Running Operation Status","0","Long Running Operation Status","0"
"Master Page Gallery","35","Master Page Gallery","256"
"Notification List","0","Notification List","0"
"Quick Deploy Items","0","Quick Deploy Items","0"
"Relationships List","0","Relationships List","1"
"Reporting Metadata","0","NotSet","NotSet"
"Reporting Templates","0","NotSet","NotSet"
"Reusable Content","0","Reusable Content","3"
"Site Collection Documents","0","Site Collection Documents","0"
"Site Collection Images","0","Site Collection Images","0"
"Solution Gallery","1","Solution Gallery","1"
"Style Library","0","Style Library","28"
"Suggested Content Browser Locations","0","Suggested Content Browser Locations","0"
"Tasks","0","Tasks","0"
"TaxonomyHiddenList","0","TaxonomyHiddenList","0"
"Theme Gallery","0","Theme Gallery","41"
"User Information List","440","User Information List","113"
"Variation Labels","0","Variation Labels","0"
"Web Part Gallery","48","Web Part Gallery","52"
"wfpub","21","wfpub","21"
"Workflow Tasks","0","Workflow Tasks","0"
